FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2,T FL,T FR,T BL,T BR
-0.9967610571107333,0.0,-2.4657312895101025,0.0,-1.1228067871596106,0.0,-0.8439486369776241,0.0,-2.4192351963330863,0.0,-1.2179212312214798,0.0,-0.8403819035850604,0.0,-2.471627098183917,0.0,-1.191448961130551,0.0,-0.9967610600085783,0.0,-2.465731288258019,0.0,-1.122806783550578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9967610571107333,0.0,-2.4657312895101025,0.0,-1.1228067871596106,0.0,-0.8439486369776241,0.0,-2.4192351963330863,0.0,-1.2179212312214798,0.0,-0.8403819035850604,0.0,-2.471627098183917,0.0,-1.191448961130551,0.0,-0.9967610600085783,0.0,-2.465731288258019,0.0,-1.122806783550578,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-0.9967610571107333,0.0,-2.4657312895101025,0.0,-1.1228067871596106,0.0,-0.8439486369776241,0.0,-2.4192351963330863,0.0,-1.2179212312214798,0.0,-0.8403819035850604,0.0,-2.471627098183917,0.0,-1.191448961130551,0.0,-1.0011866074201623,0.0,-2.5049442578825363,0.0,-0.6368792497826812,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
-0.9967610571107333,0.0,-2.4657312895101025,0.0,-1.1228067871596106,0.0,-0.8439486369776241,0.0,-2.4192351963330863,0.0,-1.2179212312214798,0.0,-0.8403819035850604,0.0,-2.471627098183917,0.0,-1.191448961130551,0.0,-0.9919668375600721,0.0,-2.4475655235427842,0.0,-0.22171287664913564,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
-0.9967610571107333,0.0,-2.4657312895101025,0.0,-1.1228067871596106,0.0,-0.8439486369776241,0.0,-2.4192351963330863,0.0,-1.2179212312214798,0.0,-0.8403819035850604,0.0,-2.471627098183917,0.0,-1.191448961130551,0.0,-0.9644739230375441,0.0,-2.3015712921927696,0.0,0.16841630149641862,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
-0.9967610571107333,0.0,-2.4657312895101025,0.0,-1.1228067871596106,0.0,-0.8439486369776241,0.0,-2.4192351963330863,0.0,-1.2179212312214798,0.0,-0.8403819035850604,0.0,-2.471627098183917,0.0,-1.191448961130551,0.0,-0.9109994333188709,0.0,-2.1023889573971126,0.0,0.5650753092924199,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
-0.9967610571107333,0.0,-2.4657312895101025,0.0,-1.1228067871596106,0.0,-0.8439486369776241,0.0,-2.4192351963330863,0.0,-1.2179212312214798,0.0,-0.8403819035850604,0.0,-2.471627098183917,0.0,-1.191448961130551,0.0,-0.6949279968102506,0.0,-1.9354003278198886,0.0,1.2716623513234495,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
-0.9967610571107333,0.0,-2.4657312895101025,0.0,-1.1228067871596106,0.0,-0.8439486369776241,0.0,-2.4192351963330863,0.0,-1.2179212312214798,0.0,-0.8403819035850604,0.0,-2.471627098183917,0.0,-1.191448961130551,0.0,-0.525540251917501,0.0,-1.9251523280740588,0.0,1.1990018103629811,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
-0.9967610571107333,0.0,-2.4657312895101025,0.0,-1.1228067871596106,0.0,-0.8439486369776241,0.0,-2.4192351963330863,0.0,-1.2179212312214798,0.0,-0.8403819035850604,0.0,-2.471627098183917,0.0,-1.191448961130551,0.0,-0.3307142660486635,0.0,-1.8777273450086223,0.0,1.1872063575401697,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
-0.9967610571107333,0.0,-2.4657312895101025,0.0,-1.1228067871596106,0.0,-0.8439486369776241,0.0,-2.4192351963330863,0.0,-1.2179212312214798,0.0,-0.8403819035850604,0.0,-2.471627098183917,0.0,-1.191448961130551,0.0,-0.1475021362036748,0.0,-1.7655275229016243,0.0,1.187867904995037,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
